,District,LocalUnit,Status,Pop_2011,Pop_2021
,ACHHAM,Bannigadhi Jayagadh,Rural Municipality,17426,13519
,ACHHAM,Chaurpati,Rural Municipality,25215,21681
,ACHHAM,Dhakari,Rural Municipality,21570,21998
,ACHHAM,Kamalbazar,Municipality,23770,21032
,ACHHAM,Khaptad National Park,National Park,0,0
,ACHHAM,Mangalsen,Municipality,33191,26557
,ACHHAM,Mellekh,Rural Municipality,24728,22785
,ACHHAM,Panchadewal Binayak,Municipality,27495,26088
,ACHHAM,Ramaroshan,Rural Municipality,25172,23600
,ACHHAM,Sanphebagar,Municipality,34128,25891
,ACHHAM,Turmakhad,Rural Municipality,24782,24574
,ARGHAKHANCHI,Bhumekasthan,Municipality,32640,28192
,ARGHAKHANCHI,Chhatradev,Rural Municipality,25343,21611
,ARGHAKHANCHI,Malarani,Rural Municipality,28044,24150
,ARGHAKHANCHI,Panini,Rural Municipality,26432,22291
,ARGHAKHANCHI,Sandhikharka,Municipality,41772,42492
,ARGHAKHANCHI,Sitganga,Municipality,43401,37691
,BAGLUNG,Badigad,Rural Municipality,30906,28839
,BAGLUNG,Baglung,Municipality,59192,56102
,BAGLUNG,Bareng,Rural Municipality,14511,11158
,BAGLUNG,Dhorpatan,Municipality,26438,30068
,BAGLUNG,Dhorpatan Hunting Reserve,Hunting Reserve,0,0
,BAGLUNG,Galkot,Municipality,33330,30588
,BAGLUNG,Jaimuni,Municipality,32069,24628
,BAGLUNG,Kanthekhola,Rural Municipality,26174,22526
,BAGLUNG,Nisikhola,Rural Municipality,23325,23119
,BAGLUNG,Taman Khola,Rural Municipality,10659,9982
,BAGLUNG,Tara Khola,Rural Municipality,12009,10120
,BAITADI,Dasharathchanda,Municipality,35211,31567
,BAITADI,Dilasaini,Rural Municipality,22924,22966
,BAITADI,Dogadakedar,Rural Municipality,24632,23104
,BAITADI,Melauli,Municipality,22545,20658
,BAITADI,Pancheshwar,Rural Municipality,18766,17796
,BAITADI,Patan,Municipality,30456,29230
,BAITADI,Purchaudi,Municipality,39190,38281
,BAITADI,Shivanath,Rural Municipality,17115,18064
,BAITADI,Sigas,Rural Municipality,21510,21814
,BAITADI,Surnaya,Rural Municipality,18549,17945
,BAJHANG,Bithadchir,Rural Municipality,17163,17812
,BAJHANG,Bungal,Municipality,33224,33812
,BAJHANG,Chabispathivera,Rural Municipality,16296,14474
,BAJHANG,Durgathali,Rural Municipality,12980,11318
,BAJHANG,JayaPrithivi,Municipality,22553,21933
,BAJHANG,Kanda,Rural Municipality,2193,2625
,BAJHANG,Kedarseu,Rural Municipality,21316,21312
,BAJHANG,Khaptad National Park,National Park,0,0
,BAJHANG,Khaptadchhanna,Rural Municipality,15903,13419
,BAJHANG,Masta,Rural Municipality,14951,13265
,BAJHANG,Surma,Rural Municipality,9033,11082
,BAJHANG,Talkot,Rural Municipality,11569,11719
,BAJHANG,Thalara,Rural Municipality,17978,15958
,BAJURA,Badimalika,Municipality,17259,18414
,BAJURA,Budhiganga,Municipality,21700,20185
,BAJURA,Budhinanda,Municipality,18883,20072
,BAJURA,Chhededaha,Rural Municipality,18741,19307
,BAJURA,Gaumul,Rural Municipality,8515,8913
,BAJURA,Himali,Rural Municipality,9229,10309
,BAJURA,Khaptad National Park,National Park,0,0
,BAJURA,Pandav Gupha,Rural Municipality,9432,10158
,BAJURA,Swami Kartik,Rural Municipality,12790,12576
,BAJURA,Tribeni,Municipality,18363,17798
,BANKE,Baijanath,Rural Municipality,54987,69472
,BANKE,Duduwa,Rural Municipality,37533,43135
,BANKE,Janki,Rural Municipality,37847,46141
,BANKE,Khajura,Rural Municipality,50990,62789
,BANKE,Kohalpur,Municipality,72748,101667
,BANKE,Narainapur,Rural Municipality,35042,43206
,BANKE,Nepalgunj,Sub-Metropolis,141241,164444
,BANKE,Rapti Sonari,Rural Municipality,60925,66445
,BARA,Adarshkotwal,Rural Municipality,27552,31364
,BARA,Baragadhi,Rural Municipality,27191,29555
,BARA,Bishrampur,Rural Municipality,23814,24892
,BARA,Devtal,Rural Municipality,23011,25361
,BARA,Jitpur Simara,Sub-Metropolis,118398,127307
,BARA,Kalaiya,Sub-Metropolis,123575,136222
,BARA,Karaiyamai,Rural Municipality,26496,29165
,BARA,Kolhabi,Municipality,44082,51182
,BARA,Mahagadhimai,Municipality,52396,59424
,BARA,Nijgadh,Municipality,35403,37687
,BARA,Pacharauta,Municipality,34194,40524
,BARA,Parsa Wildlife Reserve,Wildlife Reserve,0,0
,BARA,Parwanipur,Rural Municipality,22787,24745
,BARA,Pheta,Rural Municipality,25653,28395
,BARA,Prasauni,Rural Municipality,25049,25414
,BARA,Simraungadh,Municipality,48570,54878
,BARA,Suwarna,Rural Municipality,29537,35141
,BARDIYA,Badhaiyatal,Rural Municipality,47948,52818
,BARDIYA,Bansagadhi,Municipality,55875,63252
,BARDIYA,Barbardiya,Municipality,68031,72533
,BARDIYA,Bardiya National Park,National Park,0,0
,BARDIYA,Geruwa,Rural Municipality,34885,33514
,BARDIYA,Gulariya,Municipality,68164,74505
,BARDIYA,Madhuwan,Municipality,46682,50739
,BARDIYA,Rajapur,Municipality,59818,60831
,BARDIYA,Thakurbaba,Municipality,45173,49420
,BHAKTAPUR,Bhaktapur,Municipality,83658,79136
,BHAKTAPUR,Changunarayan,Municipality,58006,88083
,BHAKTAPUR,Madhyapur Thimi,Municipality,84142,119756
,BHAKTAPUR,Suryabinayak,Municipality,78845,140085
,BHOJPUR,Aamchowk,Rural Municipality,18777,14968
,BHOJPUR,Arun,Rural Municipality,17768,14591
,BHOJPUR,Bhojpur,Municipality,28107,26007
,BHOJPUR,Hatuwagadhi,Rural Municipality,20543,16175
